,assets_1_to_40_percent,assets_1_to_40_percent,assets_1_to_40_percent,assets_41_to_80_percent,assets_41_to_80_percent,assets_41_to_80_percent,assets_81_to_100_percent,assets_81_to_100_percent,assets_81_to_100_percent,assets_average,assets_average,assets_average
Year,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0
Postcode,,,,,,,,,,,,
1011.0,46.3,48.3,50.8,29.7,26.6,23,24,25,26.2,49,48.5,47.6
1012.0,58,61.1,63.1,26.8,22.9,20.5,15.2,16,16.4,40.4,39.1,38.2
1013.0,51.6,53,54.7,31.8,27.8,25.2,16.7,19.1,20.1,44.7,44.9,44.2
1014.0,57.4,57.4,46.7,30.9,27.5,27.4,11.7,15.1,25.9,38.6,39.1,49.2
1015.0,45.2,47.7,50.2,29.2,25.3,23.3,25.6,27.1,26.5,50.2,49.6,48.3
1016.0,43.8,45.8,48.5,28.1,24.5,22.1,28.2,29.7,29.3,51.6,51.4,49.9
1017.0,40.1,42.5,44.3,26.5,23.1,20.7,33.4,34.4,35,54.7,54.2,53.4
1018.0,48.1,50.1,51.6,31.4,26.9,24,20.6,23,24.4,47.3,47.1,46.5
1019.0,36.5,37.6,40.6,35.8,31.3,27.4,27.7,31.1,32,54.1,54.9,53.8
1021.0,68,70,71.1,28.5,25.2,23,3.5,4.8,6,33.8,33.6,33.4
1022.0,50.9,48.4,52,39,34.1,27.5,10.1,17.5,20.6,42.7,45.7,45
1023.0,51.6,53,54,35.4,32.6,28.8,13,14.5,17.2,43.9,44.3,44.3
1024.0,61.4,60.1,61,30.6,30.4,28,8,9.5,11,38.1,38.7,38.7
1025.0,57.9,58,60.1,31.8,29.9,26.5,10.4,12.1,13.4,40.1,40.6,40
1026.0,12.1,15.2,14.7,20.6,18.2,16.2,67.3,66.7,69.1,78.2,76.7,77.7
1027.0,22.9,16.7,23,23.9,24.1,18.3,53.2,59.1,58.7,69,73.1,72.3
1028.0,9.1,8,7.3,15.4,11.8,13.1,75.5,80.3,79.6,82.4,84.8,85.4
1031.0,68.6,70,71.6,23,20.4,17.9,8.4,9.7,10.5,34.9,34.1,33.3
1032.0,66.8,64.8,66.1,29.9,29.4,26.3,3.3,5.8,7.6,34.6,35.9,36.3
1033.0,61.5,63.6,65.4,34.2,31.3,28.8,4.3,5.1,5.8,36.4,35.9,35.3
1034.0,60,60.1,61.8,31.4,29.5,26,8.6,10.4,12.2,38.9,39.6,39.3
