,charger_ID,city,address,provider,latitude,longitude,operator,type,power,zipcode
0,NLALLEGO006110,Amsterdam,Hobbemakade 121,ALLEGO,52.3502668,4.8860099,,FastCharger,50,1071 XW
1,NLALLEGO006001,Amsterdam,Transformatorweg 28,ALLEGO,52.3923306,4.8527822,,FastCharger,50,1014 AK
2,NLALLEGO007904,Amsterdam,Europaboulevard 10,ALLEGO,52.3336597,4.8886357,,FastCharger,50,1083 AD
3,NLALLEGO006000,Amsterdam,Transformatorweg 28,ALLEGO,52.3923306,4.8527822,,FastCharger,50,1014 AK
4,EVB-DC140100001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,50,1059 CM
5,NLALLEGO001023,Amsterdam,Overschiestraat 172,ALLEGO,52.3461229,4.8390387,,FastCharger,50,1062 XK
6,EVB-DC175000001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,50,1059 CM
7,NLALLEGO006003,Amsterdam,Strawinskylaan 6,ALLEGO,52.3412158,4.8747777,,FastCharger,50,1077 XZ
8,NLALLEGO007903,Amsterdam,Europaboulevard 10,ALLEGO,52.3336597,4.8886357,,FastCharger,50,1083 AD
9,EVB-DC175200001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,50,1059 CM
10,EVB-DC306000001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,50,1059 CM
11,NLALLEGO001020,Amsterdam,Stationsplein 51 (Alleen TTO Taxi's),ALLEGO,52.3798109,4.8964061,,FastCharger,50,1012 AB
12,NLALLEGO001021,Amsterdam,Hobbemakade 121,ALLEGO,52.3502668,4.8860099,,FastCharger,50,1071 XW
13,EVB-DC305800001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,50,1059 CM
14,EVB-DC191189000IR0,Amsterdam,Pauwenpad 1,EVBOX,52.349234,4.9165807,,FastCharger,50,1097 DX
15,EVB-DC306100001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,175,1059 CM
16,EVB-DC175300001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,175,1059 CM
17,EVB-DC318200001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,175,1059 CM
18,EVB-DC430200001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,175,1059 CM
19,NLALLEGO007907,Amsterdam,Tijnmuiden,ALLEGO,52.3915796,4.7790729,,FastCharger,50,1046 AK
20,NLALLEGO001024,Amsterdam,Overschiestraat 172,ALLEGO,52.3461229,4.8390387,,FastCharger,50,1062 XK
21,NLALLEGO006109,Amsterdam,Stationsplein 51 (Alleen TTO Taxi's),ALLEGO,52.3798109,4.8964061,,FastCharger,50,1012 AB
22,NLALLEGO001022,Amsterdam,Hobbemakade 121,ALLEGO,52.3502668,4.8860099,,FastCharger,50,1071 XW
23,EVB-DC175700001,Amsterdam,Anthony Fokkerweg 2,EVBOX,52.343528,4.84199,,FastCharger,175,1059 CM
24,NLALLEGO001019,Amsterdam,Stationsplein 51 (Alleen TTO Taxi's),ALLEGO,52.3798109,4.8964061,,FastCharger,50,1012 AB
25,,,Beverwijkstraat 3,ALLEGO,0.0,0.0,,FastCharger,50,
