,power,power
,total_capacity,number_of_charger
postcode,,
1003,22.0,1
1011,385.0,29
1012,392.0,24
1013,814.0,65
1014,342.0,21
1015,781.0,63
1016,605.0,54
1017,935.0,77
1018,1166.0,86
1019,792.0,58
1021,242.0,19
1022,209.0,18
1023,231.0,18
1024,616.0,37
1025,550.0,40
1027,33.0,2
1028,33.0,2
1031,220.0,15
1032,275.0,21
1033,759.0,53
1034,583.0,40
1035,396.0,27
1036,154.0,11
1037,11.0,1
1042,11.0,1
1043,103.0,10
1046,116.0,5
1047,22.0,1
1051,737.0,50
1052,638.0,44
1053,759.0,51
1054,1287.0,96
1055,858.0,65
1056,1045.0,75
1057,957.0,65
1058,1221.0,84
1059,1741.0,59
1060,418.0,30
1061,363.0,24
1062,419.0,27
1063,363.0,25
1064,550.0,40
1065,440.0,29
1066,748.0,55
1067,704.0,49
1068,616.0,44
1069,968.0,64
1071,1690.0,116
1072,682.0,49
1073,616.0,50
1074,752.0,56
1075,1111.0,84
1076,649.0,49
1077,1348.0,101
1078,1155.0,88
1079,979.0,75
1081,473.0,38
1082,682.0,50
1083,474.0,34
1086,253.0,19
1087,836.0,58
1091,1067.0,76
1092,539.0,40
1093,352.0,28
1094,495.0,35
1095,572.0,41
1096,297.0,26
1097,930.0,63
1098,880.0,69
1101,44.0,4
1102,583.0,39
1103,462.0,33
1104,484.0,31
1105,22.0,2
1106,561.0,41
1107,319.0,23
1108,44.0,4
1109,55.0,5
1114,33.0,3
