,power,power
,total_capacity,number_of_charger
zipcode,,
1003 AE,22.0,1
1011 AB,22.0,2
1011 AC,11.0,1
1011 BG,22.0,1
1011 CA,11.0,1
1011 EG,11.0,1
1011 GH,22.0,1
1011 GT,11.0,1
1011 GZ,11.0,1
1011 HB,11.0,1
1011 JV,11.0,1
1011 KC,11.0,1
1011 KS,11.0,1
1011 KX,22.0,1
1011 LL,11.0,1
1011 LX,22.0,2
1011 LZ,11.0,1
1011 MN,11.0,1
1011 PL,22.0,1
1011 RG,22.0,1
1011 RK,11.0,1
1011 RL,11.0,1
1011 RN,11.0,1
1011 TB,11.0,1
1011 TE,22.0,1
1011 TG,11.0,1
1011 TM,11.0,1
1011 VA,11.0,1
1012 AD,11.0,1
1012 BH,11.0,1
1012 CK,11.0,1
1012 CR,11.0,1
1012 CZ,11.0,1
1012 EG,11.0,1
1012 ES,11.0,1
1012 GH,11.0,1
1012 GM,11.0,1
1012 RB,11.0,1
1012 RD,11.0,1
1012 SG,11.0,1
1012 SH,11.0,1
1012 SP,33.0,2
1012 SR,11.0,1
1012 SZ,11.0,1
1012 TL,150.0,3
1012 VC,11.0,1
1012 VG,11.0,1
1012 VP,11.0,1
1012 WL,11.0,1
1013 AK,11.0,1
1013 AR,11.0,1
1013 AX,33.0,3
1013 AZ,22.0,1
1013 BC,11.0,1
1013 BV,22.0,2
1013 BW,22.0,2
1013 BX,11.0,1
1013 CM,11.0,1
1013 EC,11.0,1
1013 GM,55.0,3
1013 HC,11.0,1
1013 HG,11.0,1
1013 HV,11.0,1
1013 KS,22.0,2
1013 KT,11.0,1
1013 KW,11.0,1
1013 LC,11.0,1
1013 LE,11.0,1
1013 LM,11.0,1
1013 LR,11.0,1
1013 MB,11.0,1
1013 MC,11.0,1
1013 MD,11.0,1
1013 MG,22.0,1
1013 MK,22.0,1
1013 MP,11.0,1
1013 NB,11.0,1
1013 NJ,33.0,3
1013 NM,22.0,2
1013 NT,11.0,1
1013 PL,11.0,1
1013 PP,22.0,1
1013 PW,11.0,1
1013 RA,11.0,1
1013 RJ,11.0,1
1013 RK,11.0,1
1013 RP,11.0,1
1013 RW,11.0,1
1013 SE,11.0,1
1013 SH,11.0,1
1013 SK,22.0,1
1013 SV,11.0,1
1013 TN,22.0,1
1013 TP,11.0,1
1013 VN,11.0,1
1013 VP,11.0,1
1013 VV,11.0,1
1013 WG,22.0,1
1013 WK,11.0,1
1013 WV,11.0,1
1013 XS,11.0,1
1013 ZV,22.0,2
1013 zd,11.0,1
1014 AH,22.0,1
1014 AJ,11.0,1
1014 AK,133.0,5
1014 AN,22.0,2
1014 AP,22.0,1
1014 AS,11.0,1
1014 AT,11.0,1
1014 AV,22.0,1
1014 AW,11.0,1
1014 BA,11.0,1
1014 ZB,11.0,1
1014 ZC,33.0,3
1014 ZG,22.0,2
1015 AB,33.0,3
1015 AH,11.0,1
1015 AS,22.0,2
1015 BG,11.0,1
1015 BK,11.0,1
1015 BR,11.0,1
1015 BT,11.0,1
1015 CC,11.0,1
1015 CG,11.0,1
1015 CL,11.0,1
1015 CR,11.0,1
1015 CX,11.0,1
1015 DR,11.0,1
1015 DS,22.0,1
1015 DT,11.0,1
1015 DV,11.0,1
1015 DW,11.0,1
1015 EB,11.0,1
1015 GG,11.0,1
1015 GH,11.0,1
1015 HC,11.0,1
1015 HJ,11.0,1
1015 HL,11.0,1
1015 HM,22.0,2
1015 HR,22.0,1
1015 JD,33.0,2
1015 JE,22.0,1
1015 JG,11.0,1
1015 KE,33.0,2
1015 KG,11.0,1
1015 KH,11.0,1
1015 KJ,11.0,1
1015 KK,11.0,1
1015 KN,11.0,1
1015 LL,11.0,1
1015 LT,11.0,1
1015 MA,33.0,2
1015 MH,11.0,1
1015 MK,22.0,1
1015 MN,11.0,1
1015 MS,11.0,1
1015 MT,11.0,1
1015 MZ,11.0,1
1015 TR,11.0,1
1015 TT,11.0,1
1015 WK,22.0,2
1015 WZ,22.0,2
1015 XK,11.0,1
1015 XL,11.0,1
1015 XM,22.0,1
1015 XP,11.0,1
1015 XR,11.0,1
1015 ZH,11.0,1
1015 ZR,11.0,1
1016 AB,22.0,2
1016 AK,11.0,1
1016 AW,11.0,1
1016 BK,11.0,1
1016 BS,11.0,1
1016 CD,11.0,1
1016 CJ,22.0,2
1016 DK,22.0,2
1016 DT,11.0,1
1016 DX,11.0,1
1016 EB,11.0,1
1016 EH,11.0,1
1016 EV,11.0,1
1016 GD,33.0,3
1016 GE,11.0,1
1016 GL,11.0,1
1016 GX,11.0,1
1016 HM,11.0,1
1016 HV,11.0,1
1016 HX,11.0,1
1016 KD,11.0,1
1016 KG,11.0,1
1016 KP,22.0,2
1016 LT,11.0,1
1016 NB,11.0,1
1016 NG,11.0,1
1016 NL,22.0,1
1016 NN,11.0,1
1016 NP,11.0,1
1016 RL,11.0,1
1016 RM,11.0,1
1016 SZ,11.0,1
1016 TB,11.0,1
1016 TL,11.0,1
1016 TP,11.0,1
1016 TR,11.0,1
1016 TZ,11.0,1
1016 VR,11.0,1
1016 VT,11.0,1
1016 VV,11.0,1
1016 XH,11.0,1
1016 XK,66.0,6
1016 XP,11.0,1
1017 AJ,22.0,2
1017 AK,11.0,1
1017 AS,11.0,1
1017 AV,11.0,1
1017 BS,11.0,1
1017 BV,11.0,1
1017 BW,11.0,1
1017 CC,11.0,1
1017 CD,22.0,2
1017 CG,22.0,1
1017 CJ,11.0,1
1017 DR,22.0,2
1017 DW,11.0,1
1017 EA,11.0,1
1017 ED,11.0,1
1017 EG,11.0,1
1017 EM,11.0,1
1017 ET,11.0,1
1017 GN,11.0,1
1017 HW,11.0,1
1017 JD,22.0,2
1017 JH,22.0,1
1017 JK,11.0,1
1017 KA,22.0,2
1017 KB,11.0,1
1017 KD,11.0,1
1017 KJ,11.0,1
1017 KL,11.0,1
1017 KV,11.0,1
1017 KX,11.0,1
1017 KZ,11.0,1
1017 LA,11.0,1
1017 LC,11.0,1
1017 LT,11.0,1
1017 LW,11.0,1
1017 NB,22.0,1
1017 RK,22.0,2
1017 RM,22.0,2
1017 RT,22.0,2
1017 SB,11.0,1
1017 SG,11.0,1
1017 SJ,11.0,1
1017 SK,33.0,2
1017 TC,22.0,2
1017 VW,22.0,2
1017 WS,22.0,2
1017 WZ,11.0,1
1017 XE,11.0,1
1017 XG,11.0,1
1017 XJ,22.0,1
1017 XK,22.0,2
1017 XL,22.0,1
1017 XM,33.0,3
1017 XN,11.0,1
1017 XS,22.0,1
1017 XW,22.0,1
1017 XZ,11.0,1
1017 ZJ,11.0,1
1017 ZL,22.0,2
1017 ZN,11.0,1
1017 ZS,11.0,1
1018 AC,11.0,1
1018 AD,11.0,1
1018 AL,33.0,3
1018 AP,22.0,2
1018 AR,22.0,1
1018 BH,11.0,1
1018 BK,22.0,1
1018 BR,22.0,1
1018 CC,22.0,1
1018 CG,11.0,1
1018 CM,33.0,2
1018 CN,11.0,1
1018 CZ,11.0,1
1018 DD,11.0,1
1018 DJ,11.0,1
1018 DR,11.0,1
1018 DT,22.0,1
1018 EE,11.0,1
1018 EG,11.0,1
1018 ET,11.0,1
1018 GB,22.0,2
1018 GJ,11.0,1
1018 GV,11.0,1
1018 GX,22.0,2
1018 HJ,11.0,1
1018 HL,22.0,1
1018 JE,11.0,1
1018 JG,22.0,1
1018 JR,11.0,1
1018 KN,11.0,1
1018 KP,22.0,1
1018 LJ,11.0,1
1018 LT,44.0,3
1018 LZ,11.0,1
