PC6,number_of_charger,total_capacity,electricity_household,electricity_company,December 2017_EV,December 2018_EV,December 2019_EV,December 2020_EV,December 2021_EV,December 2022_EV,December 2017_hybrid,December 2018_hybrid,December 2019_hybrid,December 2020_hybrid,December 2021_hybrid,December 2022_hybrid
1003AE,1.0,22.0,,,,,,,,,,,,,,
1011AB,2.0,22.0,0.0,62110.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011AC,1.0,11.0,2880.0,68890.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011BG,1.0,22.0,0.0,3930.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011CA,1.0,11.0,1850.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011EG,1.0,11.0,1820.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011GH,1.0,22.0,1330.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011GT,1.0,11.0,1970.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011GZ,1.0,11.0,1510.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011HB,1.0,11.0,1660.0,9510.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011JV,1.0,11.0,1470.0,15100.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011KC,1.0,11.0,2300.0,6320.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011KS,1.0,11.0,1810.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011KX,1.0,22.0,0.0,12840.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011LL,1.0,11.0,1710.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011LX,2.0,22.0,0.0,9400.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011LZ,1.0,11.0,2240.0,110200.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011MN,1.0,11.0,2200.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011PL,1.0,22.0,1480.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011RG,1.0,22.0,1710.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011RK,1.0,11.0,1400.0,3770.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011RL,1.0,11.0,1690.0,0.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011RN,1.0,11.0,2270.0,17890.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011TB,1.0,11.0,2210.0,3170.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011TE,1.0,22.0,,,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011TG,1.0,11.0,2080.0,11270.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011TM,1.0,11.0,1920.0,8520.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1011VA,1.0,11.0,1660.0,10540.0,56.0,78.0,136.0,198.0,296.0,367.0,43.0,39.0,49.0,36.0,69.0,187.0
1012AD,1.0,11.0,0.0,0.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012BH,1.0,11.0,2480.0,42610.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012CK,1.0,11.0,2280.0,0.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012CR,1.0,11.0,2140.0,41710.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012CZ,1.0,11.0,1560.0,0.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012EG,1.0,11.0,2590.0,0.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012ES,1.0,11.0,1740.0,8910.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012GH,1.0,11.0,2100.0,10290.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012GM,1.0,11.0,2210.0,4470.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012RB,1.0,11.0,1700.0,135550.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012RD,1.0,11.0,2080.0,28920.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012SG,1.0,11.0,1890.0,43900.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012SH,1.0,11.0,2310.0,34850.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012SP,2.0,33.0,1790.0,18400.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012SR,1.0,11.0,2180.0,5820.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012SZ,1.0,11.0,1780.0,392900.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012TL,3.0,150.0,0.0,103980.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012VC,1.0,11.0,1820.0,16420.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012VG,1.0,11.0,2440.0,7240.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012VP,1.0,11.0,1660.0,13790.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1012WL,1.0,11.0,1580.0,10870.0,20.0,30.0,48.0,59.0,67.0,79.0,35.0,35.0,36.0,40.0,3273.0,8136.0
1013AK,1.0,11.0,2110.0,16100.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013AR,1.0,11.0,0.0,107090.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013AX,3.0,33.0,,,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013AZ,1.0,22.0,0.0,11450.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013BC,1.0,11.0,0.0,160790.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013BV,2.0,22.0,3420.0,3590.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013BW,2.0,22.0,1480.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013BX,1.0,11.0,3060.0,10600.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013CM,1.0,11.0,1510.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013EC,1.0,11.0,2100.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013GM,3.0,55.0,2030.0,11810.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013HC,1.0,11.0,2550.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013HG,1.0,11.0,1580.0,6680.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013HV,1.0,11.0,1640.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013KS,2.0,22.0,1560.0,14000.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013KT,1.0,11.0,2920.0,15840.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013KW,1.0,11.0,1860.0,4980.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013LC,1.0,11.0,1750.0,8160.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013LE,1.0,11.0,2480.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013LM,1.0,11.0,2480.0,3600.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013LR,1.0,11.0,3450.0,4580.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MB,1.0,11.0,1680.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MC,1.0,11.0,0.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MD,1.0,11.0,1680.0,3420.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MG,1.0,22.0,1900.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MK,1.0,22.0,1620.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013MP,1.0,11.0,1550.0,8820.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013NB,1.0,11.0,1500.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013NJ,3.0,33.0,2150.0,4840.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013NM,2.0,22.0,1560.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013NT,1.0,11.0,1690.0,4400.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013PL,1.0,11.0,1200.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013PP,1.0,22.0,1430.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013PW,1.0,11.0,1710.0,580.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013RA,1.0,11.0,1320.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013RJ,1.0,11.0,1720.0,5690.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013RK,1.0,11.0,2290.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013RP,1.0,11.0,1560.0,7320.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013RW,1.0,11.0,1560.0,4750.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013SE,1.0,11.0,1580.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013SH,1.0,11.0,2240.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013SK,1.0,22.0,2220.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013SV,1.0,11.0,1530.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013TN,1.0,22.0,1720.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013TP,1.0,11.0,2370.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013VN,1.0,11.0,1590.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013VP,1.0,11.0,2500.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013VV,1.0,11.0,1860.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013WG,1.0,22.0,1370.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013WK,1.0,11.0,1720.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013WV,1.0,11.0,1430.0,5490.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013XS,1.0,11.0,2030.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013ZV,2.0,22.0,1440.0,0.0,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1013zd,1.0,11.0,,,647.0,1316.0,2539.0,3160.0,3483.0,228.0,79.0,76.0,79.0,93.0,122.0,154.0
1014AH,1.0,22.0,0.0,0.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AJ,1.0,11.0,0.0,154750.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AK,5.0,133.0,0.0,232070.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AN,2.0,22.0,0.0,96030.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AP,1.0,22.0,0.0,36760.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AS,1.0,11.0,0.0,194350.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AT,1.0,11.0,0.0,71840.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AV,1.0,22.0,0.0,47340.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014AW,1.0,11.0,0.0,21970.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014BA,1.0,11.0,0.0,1167350.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014ZB,1.0,11.0,2310.0,18270.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014ZC,3.0,33.0,1450.0,51180.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1014ZG,2.0,22.0,3000.0,22510.0,13.0,28.0,64.0,135.0,252.0,363.0,70.0,61.0,56.0,51.0,62.0,82.0
1015AB,3.0,33.0,1990.0,13910.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015AH,1.0,11.0,2590.0,8920.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015AS,2.0,22.0,2010.0,3930.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015BG,1.0,11.0,2370.0,16480.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015BK,1.0,11.0,2960.0,7000.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015BR,1.0,11.0,2640.0,5850.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015BT,1.0,11.0,2760.0,89250.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015CC,1.0,11.0,3350.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015CG,1.0,11.0,2490.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015CL,1.0,11.0,2790.0,8680.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015CR,1.0,11.0,2410.0,10960.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015CX,1.0,11.0,2330.0,29440.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015DR,1.0,11.0,2150.0,3820.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015DS,1.0,22.0,2530.0,18070.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015DT,1.0,11.0,1960.0,3240.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015DV,1.0,11.0,2140.0,3040.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015DW,1.0,11.0,1990.0,5880.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015EB,1.0,11.0,1600.0,5310.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015GG,1.0,11.0,2010.0,5910.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015GH,1.0,11.0,1400.0,2190.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015HC,1.0,11.0,2080.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015HJ,1.0,11.0,1750.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015HL,1.0,11.0,1890.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015HM,2.0,22.0,1360.0,3580.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015HR,1.0,22.0,1570.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015JD,2.0,33.0,1650.0,7110.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015JE,1.0,22.0,1480.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015JG,1.0,11.0,1500.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KE,2.0,33.0,1750.0,4580.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KG,1.0,11.0,2220.0,3900.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KH,1.0,11.0,1680.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KJ,1.0,11.0,1990.0,10720.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KK,1.0,11.0,1440.0,16170.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015KN,1.0,11.0,1880.0,6840.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015LL,1.0,11.0,2870.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015LT,1.0,11.0,1470.0,4960.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MA,2.0,33.0,1900.0,26720.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MH,1.0,11.0,1590.0,7270.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MK,1.0,22.0,1700.0,19420.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MN,1.0,11.0,2170.0,30180.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MS,1.0,11.0,2150.0,7010.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MT,1.0,11.0,1980.0,5430.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015MZ,1.0,11.0,1750.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TR,1.0,11.0,2200.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015TT,1.0,11.0,2200.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WK,2.0,22.0,1420.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015WZ,2.0,22.0,1640.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XK,1.0,11.0,1460.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XL,1.0,11.0,1100.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XM,1.0,22.0,1770.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XP,1.0,11.0,2470.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015XR,1.0,11.0,2610.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZH,1.0,11.0,1520.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1015ZR,1.0,11.0,1070.0,0.0,19.0,27.0,54.0,70.0,106.0,116.0,45.0,47.0,59.0,75.0,92.0,109.0
1016AB,2.0,22.0,3060.0,92500.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AK,1.0,11.0,2040.0,7270.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016AW,1.0,11.0,1900.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
1016BK,1.0,11.0,2490.0,0.0,25.0,30.0,59.0,75.0,97.0,126.0,42.0,55.0,56.0,80.0,105.0,131.0
