,income_1_to_40_percent,income_1_to_40_percent,income_1_to_40_percent,income_41_to_80_percent,income_41_to_80_percent,income_41_to_80_percent,income_81_to_100_percent,income_81_to_100_percent,income_81_to_100_percent,income_average,income_average,income_average
Year,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0
Postcode,,,,,,,,,,,,
1011.0,45.9,45.1,45,26.4,27.7,28,27.6,27.2,27.1,49,49.4,49.3
1012.0,50,47.9,47.1,27.9,29.9,29.8,22.1,22.2,23.1,44.3,45.3,46.2
1013.0,48.2,47.6,46.4,28.8,29,29.4,23,23.3,24.2,46.8,47.3,48.1
1014.0,25.9,24.8,24.8,30.6,29.3,22.7,43.5,45.9,52.5,62,63.4,66.6
1015.0,45.8,45.1,44.4,26.6,27.4,27.9,27.6,27.5,27.7,49.2,49.5,50.1
1016.0,42,41.2,40.8,27.5,27.5,28,30.6,31.3,31.2,51.6,52.3,52.8
1017.0,35.9,35.1,34.8,28,27.6,27.8,36.1,37.3,37.5,55.9,57,57.1
1018.0,46.6,46.7,45,27.5,27.5,28.4,25.9,25.9,26.6,48.1,48.1,49.1
1019.0,29.3,29.8,29,31.5,30.2,30.9,39.2,40,40.1,61.1,61.3,61.4
1021.0,62.9,62.1,60.9,28.6,28.9,28.9,8.5,9.1,10.3,35.5,36,36.8
1022.0,39.6,38.3,38.8,38.7,38,36.6,21.7,23.8,24.6,51,52.2,51.4
1023.0,50.5,49.6,50.6,33,32.8,32,16.5,17.6,17.4,45.4,46.1,45.4
1024.0,57,57,56.2,32.7,32.4,32.7,10.3,10.7,11.1,39.5,39.7,40
1025.0,55.6,55.6,55.9,31.2,30.8,30.7,13.2,13.6,13.3,40.7,40.7,40.3
1026.0,16.1,20.2,18.6,33.2,32.8,37.7,50.8,47,43.6,70.8,68.7,67.9
1027.0,29.3,23.2,28.2,36.7,41.9,39.4,34,35,32.4,59.8,63.2,60.4
1028.0,19.5,16.8,19.6,33.6,34,34.7,46.9,49.2,45.7,68.3,70,68.2
1031.0,61.7,58.8,57.8,22.2,24.3,24.2,16.1,16.9,18,38.7,39.9,40.9
1032.0,59.4,57.7,57.1,30.9,29.3,29.3,9.7,12.9,13.6,38.2,39.6,40.1
1033.0,58.6,60.7,57.9,31.9,29.9,32.1,9.6,9.4,10,38.3,37,38.3
1034.0,57.3,57.3,57.8,31.5,30.9,30.6,11.2,11.8,11.6,39.6,40.1,39.7
