,Postcode,buurt
0,1012AC,Kop Zeedijk
8,1012AD,Kop Zeedijk
11,1012AE,Kop Zeedijk
32,1012AG,Kop Zeedijk
41,1012AH,Kop Zeedijk
53,1012AJ,Kop Zeedijk
60,1012AK,Kop Zeedijk
75,1012AL,Kop Zeedijk
98,1012AM,Kop Zeedijk
101,1012AN,Kop Zeedijk
106,1012AP,Kop Zeedijk
111,1012AR,Kop Zeedijk
122,1012AS,Kop Zeedijk
137,1012AX,Kop Zeedijk
143,1012AZ,Kop Zeedijk
157,1012BA,Kop Zeedijk
175,1012BB,Kop Zeedijk
177,1012BD,Kop Zeedijk
179,1012BH,Kop Zeedijk
188,1012BJ,Kop Zeedijk
212,1012BK,Kop Zeedijk
221,1012BL,Kop Zeedijk
226,1012DM,Kop Zeedijk
236,1012DZ,Kop Zeedijk
254,1012EA,Kop Zeedijk
256,1012EH,Kop Zeedijk
270,1012GD,Kop Zeedijk
286,1012GE,Kop Zeedijk
292,1012GN,Kop Zeedijk
294,1012GP,Kop Zeedijk
319,1012GR,Kop Zeedijk
345,1012GS,Kop Zeedijk
360,1012HT,Kop Zeedijk
372,1012HV,Kop Zeedijk
382,1012HW,Kop Zeedijk
389,1012JD,Kop Zeedijk
399,1012JE,Kop Zeedijk
409,1012JG,Kop Zeedijk
415,1012JP,Kop Zeedijk
424,1012RA,Kop Zeedijk
436,1012HD,Oude Kerk e.o.
438,1012HE,Oude Kerk e.o.
439,1012GE,Oude Kerk e.o.
452,1012GG,Oude Kerk e.o.
458,1012GH,Oude Kerk e.o.
502,1012GJ,Oude Kerk e.o.
514,1012GK,Oude Kerk e.o.
515,1012GT,Oude Kerk e.o.
528,1012GV,Oude Kerk e.o.
532,1012GW,Oude Kerk e.o.
544,1012GX,Oude Kerk e.o.
553,1012GZ,Oude Kerk e.o.
571,1012HA,Oude Kerk e.o.
578,1012HB,Oude Kerk e.o.
580,1012HC,Oude Kerk e.o.
620,1012HG,Oude Kerk e.o.
670,1012HH,Oude Kerk e.o.
691,1012HW,Oude Kerk e.o.
694,1012HX,Oude Kerk e.o.
702,1012HZ,Oude Kerk e.o.
712,1012JA,Oude Kerk e.o.
725,1012JB,Oude Kerk e.o.
733,1012JC,Oude Kerk e.o.
744,1012JH,Oude Kerk e.o.
756,1012JJ,Oude Kerk e.o.
761,1012JK,Oude Kerk e.o.
765,1012JL,Oude Kerk e.o.
781,1012JN,Oude Kerk e.o.
788,1012JS,Oude Kerk e.o.
796,1012JT,Oude Kerk e.o.
803,1012JV,Oude Kerk e.o.
813,1012JW,Oude Kerk e.o.
818,1012ZH,Oude Kerk e.o.
820,1012ZJ,Oude Kerk e.o.
904,1012AT,Burgwallen Oost
911,1012AV,Burgwallen Oost
920,1012AW,Burgwallen Oost
931,1012BB,Burgwallen Oost
947,1012BC,Burgwallen Oost
955,1012BD,Burgwallen Oost
959,1012BE,Burgwallen Oost
968,1012BG,Burgwallen Oost
989,1012BL,Burgwallen Oost
990,1012BM,Burgwallen Oost
999,1012BN,Burgwallen Oost
1010,1012BP,Burgwallen Oost
1032,1012BR,Burgwallen Oost
1034,1012BS,Burgwallen Oost
1057,1012BT,Burgwallen Oost
1073,1012BV,Burgwallen Oost
1096,1012BW,Burgwallen Oost
1106,1012BX,Burgwallen Oost
1123,1012BZ,Burgwallen Oost
1142,1012CA,Burgwallen Oost
1154,1012CB,Burgwallen Oost
1171,1012CC,Burgwallen Oost
1174,1012CD,Burgwallen Oost
1192,1012CR,Burgwallen Oost
1204,1012CS,Burgwallen Oost
1212,1012CT,Burgwallen Oost
1220,1012CV,Burgwallen Oost
1226,1012CW,Burgwallen Oost
1235,1012DA,Burgwallen Oost
1254,1012DB,Burgwallen Oost
1268,1012DC,Burgwallen Oost
1278,1012DD,Burgwallen Oost
1285,1012DE,Burgwallen Oost
1292,1012DG,Burgwallen Oost
1301,1012DN,Burgwallen Oost
1308,1012DP,Burgwallen Oost
1322,1012DR,Burgwallen Oost
1336,1012DS,Burgwallen Oost
1348,1012DT,Burgwallen Oost
1356,1012DV,Burgwallen Oost
1367,1012EA,Burgwallen Oost
1370,1012EB,Burgwallen Oost
1377,1012EC,Burgwallen Oost
1389,1012ED,Burgwallen Oost
1395,1012EJ,Burgwallen Oost
1408,1012EK,Burgwallen Oost
1415,1012EL,Burgwallen Oost
1427,1012EM,Burgwallen Oost
1432,1012EN,Burgwallen Oost
1437,1012EP,Burgwallen Oost
1442,1012ER,Burgwallen Oost
1445,1012ES,Burgwallen Oost
1457,1012ET,Burgwallen Oost
1462,1012EV,Burgwallen Oost
1467,1012ZX,Nes e.o.
1468,1012GA,Nes e.o.
1480,1012GB,Nes e.o.
1491,1012GC,Nes e.o.
1492,1012GK,Nes e.o.
1504,1012GL,Nes e.o.
1531,1012GM,Nes e.o.
1540,1012HJ,Nes e.o.
1545,1012HK,Nes e.o.
1554,1012HL,Nes e.o.
1582,1012HM,Nes e.o.
1596,1012HN,Nes e.o.
1598,1012HP,Nes e.o.
1603,1012HR,Nes e.o.
1608,1012HS,Nes e.o.
1615,1012JM,Nes e.o.
1637,1012JS,Nes e.o.
1643,1012KC,Nes e.o.
1652,1012KD,Nes e.o.
1669,1012KE,Nes e.o.
1687,1012KG,Nes e.o.
1690,1012KH,Nes e.o.
1691,1012KJ,Nes e.o.
1692,1012KK,Nes e.o.
1700,1012KL,Nes e.o.
1710,1012KM,Nes e.o.
1716,1012KN,Nes e.o.
1718,1012KP,Nes e.o.
1723,1012CE,BG-terrein e.o.
1733,1012CG,BG-terrein e.o.
1734,1012CH,BG-terrein e.o.
1739,1012CJ,BG-terrein e.o.
1754,1012CK,BG-terrein e.o.
1765,1012CL,BG-terrein e.o.
1775,1012CM,BG-terrein e.o.
1780,1012CN,BG-terrein e.o.
1784,1012CP,BG-terrein e.o.
1802,1012CX,BG-terrein e.o.
1810,1012CZ,BG-terrein e.o.
1855,1012DH,BG-terrein e.o.
1860,1012DJ,BG-terrein e.o.
1865,1012DK,BG-terrein e.o.
1873,1012DL,BG-terrein e.o.
1881,1012DW,BG-terrein e.o.
1887,1012DX,BG-terrein e.o.
1897,1012ED,BG-terrein e.o.
1907,1012EE,BG-terrein e.o.
1914,1012EG,BG-terrein e.o.
1925,1012EW,BG-terrein e.o.
1932,1012EX,BG-terrein e.o.
1940,1012EZ,BG-terrein e.o.
1951,1012GC,BG-terrein e.o.
1963,1012JZ,BG-terrein e.o.
1970,1012XT,BG-terrein e.o.
1974,1012XX,BG-terrein e.o.
1977,1012ZA,BG-terrein e.o.
1979,1012ZD,BG-terrein e.o.
1997,1012ZE,BG-terrein e.o.
2032,1012ZG,BG-terrein e.o.
2051,1012AB,Stationsplein e.o.
2052,1012AA,Stationsplein e.o.
2107,1012LZ,Hemelrijk
2122,1012MA,Hemelrijk
2130,1012MK,Hemelrijk
2138,1012ML,Hemelrijk
2149,1012MN,Hemelrijk
2154,1012MZ,Hemelrijk
2166,1012NA,Hemelrijk
2168,1012RZ,Hemelrijk
2182,1012SB,Hemelrijk
2188,1012SK,Hemelrijk
2190,1012SN,Hemelrijk
2201,1012SP,Hemelrijk
2211,1012SV,Hemelrijk
2212,1012SW,Hemelrijk
2237,1012SX,Hemelrijk
2239,1012SZ,Hemelrijk
2245,1012TA,Hemelrijk
2258,1012TB,Hemelrijk
2265,1012TC,Hemelrijk
2267,1012TK,Hemelrijk
2277,1012TL,Hemelrijk
2287,1012TM,Hemelrijk
2298,1012TP,Hemelrijk
2300,1012TR,Hemelrijk
2307,1012TS,Hemelrijk
2314,1012VC,Hemelrijk
2335,1012AB,Nieuwendijk Noord
2336,1012JP,Nieuwendijk Noord
2342,1012LG,Nieuwendijk Noord
2351,1012LH,Nieuwendijk Noord
2360,1012LJ,Nieuwendijk Noord
2367,1012LK,Nieuwendijk Noord
2374,1012LR,Nieuwendijk Noord
2389,1012LS,Nieuwendijk Noord
2394,1012MB,Nieuwendijk Noord
2418,1012MC,Nieuwendijk Noord
2435,1012MD,Nieuwendijk Noord
2446,1012MJ,Nieuwendijk Noord
2448,1012MP,Nieuwendijk Noord
2456,1012MR,Nieuwendijk Noord
2471,1012MS,Nieuwendijk Noord
2476,1012NB,Nieuwendijk Noord
2534,1012NC,Nieuwendijk Noord
2558,1012ND,Nieuwendijk Noord
2564,1012PS,Nieuwendijk Noord
2575,1012PT,Nieuwendijk Noord
2581,1012PV,Nieuwendijk Noord
2591,1012RC,Nieuwendijk Noord
2595,1012RD,Nieuwendijk Noord
2601,1012TM,Nieuwendijk Noord
2609,1012TN,Nieuwendijk Noord
2615,1012ZH,Nieuwendijk Noord
2616,1012SC,Spuistraat Noord
2622,1012SE,Spuistraat Noord
2632,1012SG,Spuistraat Noord
2639,1012SH,Spuistraat Noord
2653,1012SJ,Spuistraat Noord
2668,1012SK,Spuistraat Noord
2671,1012SL,Spuistraat Noord
2676,1012SM,Spuistraat Noord
2687,1012SR,Spuistraat Noord
2700,1012ST,Spuistraat Noord
2715,1012SV,Spuistraat Noord
2729,1012TC,Spuistraat Noord
2735,1012TD,Spuistraat Noord
2754,1012TE,Spuistraat Noord
2762,1012TG,Spuistraat Noord
2764,1012TH,Spuistraat Noord
2772,1012TJ,Spuistraat Noord
2774,1012TS,Spuistraat Noord
2779,1012TT,Spuistraat Noord
2784,1012TV,Spuistraat Noord
2793,1012TW,Spuistraat Noord
2803,1012TX,Spuistraat Noord
2808,1012TZ,Spuistraat Noord
2814,1012VA,Spuistraat Noord
2825,1012VB,Spuistraat Noord
2830,1012VD,Spuistraat Noord
2841,1012VE,Spuistraat Noord
2851,1012VG,Spuistraat Noord
2863,1012VH,Spuistraat Noord
2874,1012VJ,Spuistraat Noord
2882,1012VK,Spuistraat Noord
2890,1012LV,Nieuwe Kerk e.o.
2891,1012JN,Nieuwe Kerk e.o.
2896,1012LK,Nieuwe Kerk e.o.
2902,1012LL,Nieuwe Kerk e.o.
2916,1012LM,Nieuwe Kerk e.o.
2926,1012LN,Nieuwe Kerk e.o.
2929,1012LP,Nieuwe Kerk e.o.
2943,1012LT,Nieuwe Kerk e.o.
2955,1012LW,Nieuwe Kerk e.o.
2957,1012LX,Nieuwe Kerk e.o.
2990,1012MD,Nieuwe Kerk e.o.
2994,1012ME,Nieuwe Kerk e.o.
3005,1012MG,Nieuwe Kerk e.o.
3014,1012MH,Nieuwe Kerk e.o.
3031,1012MS,Nieuwe Kerk e.o.
3048,1012MT,Nieuwe Kerk e.o.
3057,1012MV,Nieuwe Kerk e.o.
3064,1012MX,Nieuwe Kerk e.o.
3075,1012NE,Nieuwe Kerk e.o.
3106,1012NG,Nieuwe Kerk e.o.
3151,1012NH,Nieuwe Kerk e.o.
3165,1012NJ,Nieuwe Kerk e.o.
3198,1012NK,Nieuwe Kerk e.o.
3234,1012NL,Nieuwe Kerk e.o.
3245,1012NM,Nieuwe Kerk e.o.
3264,1012NN,Nieuwe Kerk e.o.
3276,1012NP,Nieuwe Kerk e.o.
