,SES-WOA deelscore financiële welvaart: gemiddelde score,SES-WOA deelscore financiële welvaart: gemiddelde score,SES-WOA deelscore financiële welvaart: gemiddelde score,SES-WOA deelscore arbeidverleden: gemiddelde score,SES-WOA deelscore arbeidverleden: gemiddelde score,SES-WOA deelscore arbeidverleden: gemiddelde score,Ondergrens 95%-interval SES WOA totaalscore,Ondergrens 95%-interval SES WOA totaalscore,Ondergrens 95%-interval SES WOA totaalscore,Gemiddelde SES WOA totaalscore,Gemiddelde SES WOA totaalscore,Gemiddelde SES WOA totaalscore,Bovengrens 95%-interval SES WOA totaalscore,Bovengrens 95%-interval SES WOA totaalscore,Bovengrens 95%-interval SES WOA totaalscore,Spreiding welvaart,Spreiding welvaart,Spreiding welvaart,Spreiding arbeidsverleden,Spreiding arbeidsverleden,Spreiding arbeidsverleden,Ondergrens 95%-interval van de spreiding in de SES WOA score,Ondergrens 95%-interval van de spreiding in de SES WOA score,Ondergrens 95%-interval van de spreiding in de SES WOA score,Spreiding van de SES WOA score,Spreiding van de SES WOA score,Spreiding van de SES WOA score,Bovengrens 95%-interval van de spreiding in de SES WOA score,Bovengrens 95%-interval van de spreiding in de SES WOA score,Bovengrens 95%-interval van de spreiding in de SES WOA score
Year,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0,2017.0,2018.0,2019.0
Postcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011.0,-0.049,-0.043,-0.043,-0.042,-0.045,-0.044,0.018,0.02,0.031,0.021,0.025,0.034,0.025,0.029,0.037,0.46,0.456,0.456,0.372,0.373,0.374,0.927,0.921,0.915,0.93,0.925,0.919,0.934,0.929,0.923
1012.0,-0.111,-0.1,-0.09,-0.045,-0.037,-0.025,-0.039,-0.023,0.006,-0.036,-0.019,0.01,-0.032,-0.014,0.013,0.471,0.466,0.46,0.374,0.369,0.362,0.896,0.881,0.865,0.9,0.887,0.868,0.904,0.892,0.872
1013.0,-0.088,-0.076,-0.066,-0.063,-0.057,-0.046,-0.085,-0.066,-0.035,-0.083,-0.063,-0.033,-0.081,-0.061,-0.031,0.46,0.458,0.452,0.409,0.404,0.394,1.02,1.014,0.994,1.022,1.016,0.997,1.024,1.019,1
1014.0,0.063,0.07,0.102,0.032,0.056,0.046,0.245,0.295,0.313,0.259,0.3,0.321,0.273,0.306,0.33,0.381,0.378,0.379,0.335,0.311,0.328,0.826,0.792,0.866,0.847,0.803,0.876,0.868,0.814,0.886
1015.0,-0.043,-0.038,-0.032,-0.05,-0.052,-0.044,0.016,0.018,0.035,0.019,0.021,0.038,0.022,0.023,0.041,0.46,0.457,0.451,0.38,0.383,0.376,0.936,0.937,0.921,0.938,0.94,0.924,0.941,0.942,0.926
1016.0,-0.008,0,0.003,-0.045,-0.039,-0.028,0.071,0.085,0.106,0.074,0.088,0.109,0.078,0.09,0.112,0.445,0.441,0.436,0.367,0.365,0.356,0.885,0.885,0.865,0.889,0.89,0.869,0.893,0.895,0.873
1017.0,0.04,0.051,0.051,-0.034,-0.026,-0.017,0.164,0.186,0.198,0.167,0.189,0.202,0.171,0.192,0.206,0.426,0.418,0.417,0.359,0.353,0.348,0.84,0.826,0.82,0.844,0.83,0.825,0.849,0.834,0.83
1018.0,-0.065,-0.066,-0.051,-0.068,-0.068,-0.051,-0.033,-0.034,0.01,-0.031,-0.032,0.012,-0.028,-0.029,0.014,0.463,0.466,0.46,0.404,0.404,0.39,0.993,1.002,0.973,0.996,1.004,0.975,0.999,1.006,0.978
1019.0,0.088,0.092,0.092,0.044,0.046,0.048,0.281,0.285,0.293,0.284,0.288,0.296,0.287,0.291,0.299,0.37,0.37,0.37,0.319,0.317,0.313,0.827,0.83,0.821,0.83,0.834,0.825,0.833,0.838,0.829
1021.0,-0.234,-0.227,-0.218,-0.135,-0.126,-0.124,-0.437,-0.415,-0.397,-0.433,-0.41,-0.392,-0.428,-0.405,-0.387,0.43,0.435,0.44,0.461,0.456,0.455,1.054,1.046,1.058,1.06,1.052,1.063,1.066,1.058,1.068
1022.0,-0.038,-0.012,-0.02,0.007,0.014,0.019,0.004,0.049,0.058,0.011,0.055,0.064,0.018,0.061,0.07,0.418,0.416,0.426,0.37,0.36,0.35,1.002,0.99,0.975,1.01,0.999,0.985,1.017,1.008,0.996
1023.0,-0.08,-0.078,-0.081,-0.034,-0.037,-0.037,-0.134,-0.132,-0.129,-0.127,-0.125,-0.121,-0.12,-0.118,-0.113,0.411,0.42,0.423,0.359,0.367,0.369,0.949,0.973,0.979,0.959,0.981,0.987,0.968,0.988,0.994
1024.0,-0.164,-0.155,-0.146,-0.093,-0.09,-0.074,-0.35,-0.329,-0.289,-0.344,-0.324,-0.284,-0.338,-0.319,-0.278,0.429,0.431,0.432,0.426,0.426,0.415,1.005,1.002,0.992,1.009,1.006,0.995,1.013,1.01,0.998
1025.0,-0.152,-0.148,-0.152,-0.102,-0.1,-0.102,-0.312,-0.302,-0.296,-0.308,-0.297,-0.293,-0.303,-0.292,-0.289,0.443,0.445,0.45,0.402,0.403,0.407,0.989,0.991,1,0.993,0.995,1.003,0.998,0.999,1.006
1026.0,0.273,0.25,0.257,0.112,0.112,0.09,0.552,0.533,0.527,0.57,0.555,0.546,0.589,0.576,0.565,0.177,0.213,0.206,0.209,0.212,0.243,0.488,0.505,0.537,0.507,0.525,0.552,0.527,0.545,0.568
1027.0,0.147,0.185,0.147,0.028,0.064,0.037,0.213,0.312,0.242,0.244,0.34,0.271,0.274,0.369,0.301,0.331,0.293,0.349,0.264,0.228,0.271,0.74,0.668,0.746,0.77,0.696,0.779,0.8,0.724,0.812
1028.0,0.267,0.289,0.288,0.067,0.091,0.096,0.437,0.497,0.509,0.46,0.517,0.528,0.482,0.536,0.546,0.192,0.163,0.161,0.239,0.216,0.218,0.545,0.525,0.524,0.569,0.548,0.544,0.593,0.571,0.564
1031.0,-0.21,-0.193,-0.185,-0.128,-0.118,-0.113,-0.38,-0.335,-0.319,-0.375,-0.329,-0.314,-0.369,-0.323,-0.309,0.457,0.462,0.465,0.456,0.454,0.451,1.079,1.094,1.094,1.084,1.099,1.099,1.089,1.103,1.105
1032.0,-0.196,-0.181,-0.175,-0.099,-0.085,-0.08,-0.379,-0.337,-0.311,-0.371,-0.331,-0.305,-0.364,-0.324,-0.298,0.423,0.438,0.443,0.429,0.424,0.423,1.039,1.065,1.071,1.046,1.071,1.077,1.053,1.077,1.083
1033.0,-0.185,-0.202,-0.187,-0.095,-0.115,-0.102,-0.354,-0.386,-0.335,-0.349,-0.381,-0.331,-0.345,-0.377,-0.327,0.425,0.433,0.436,0.415,0.431,0.419,0.96,0.977,0.975,0.965,0.984,0.979,0.97,0.99,0.983
1034.0,-0.167,-0.158,-0.159,-0.1,-0.099,-0.097,-0.359,-0.342,-0.334,-0.354,-0.337,-0.329,-0.349,-0.332,-0.324,0.432,0.436,0.44,0.426,0.427,0.427,1.027,1.033,1.036,1.03,1.036,1.039,1.033,1.039,1.043
1035.0,-0.026,-0.021,-0.025,-0.022,-0.019,-0.016,-0.072,-0.059,-0.052,-0.069,-0.055,-0.049,-0.065,-0.051,-0.047,0.408,0.41,0.417,0.365,0.363,0.359,0.944,0.941,0.942,0.951,0.947,0.947,0.957,0.952,0.952
1036.0,0.051,0.083,0.088,0.09,0.101,0.103,0.229,0.275,0.285,0.235,0.282,0.293,0.241,0.289,0.301,0.372,0.356,0.358,0.282,0.268,0.263,0.868,0.83,0.836,0.875,0.839,0.847,0.883,0.848,0.858
1037.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1041.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1042.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1043.0,.,-0.379,-0.288,.,-0.275,-0.201,.,-0.702,-0.444,.,-0.672,-0.426,.,-0.642,-0.408,.,0.393,0.422,.,0.487,0.466,.,0.93,0.93,.,0.954,0.949,.,0.977,0.969
1045.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1046.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1047.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1051.0,-0.06,-0.05,-0.052,-0.021,-0.02,-0.016,0.006,0.017,0.02,0.008,0.02,0.024,0.011,0.023,0.027,0.438,0.439,0.44,0.38,0.381,0.376,0.979,0.981,0.974,0.982,0.984,0.978,0.985,0.988,0.982
1052.0,-0.075,-0.064,-0.061,-0.039,-0.037,-0.035,-0.025,-0.009,-0.003,-0.022,-0.007,0,-0.019,-0.004,0.004,0.455,0.454,0.45,0.387,0.387,0.382,0.99,0.987,0.972,0.994,0.99,0.976,0.998,0.993,0.979
1053.0,-0.106,-0.089,-0.079,-0.061,-0.054,-0.046,-0.09,-0.06,-0.038,-0.087,-0.057,-0.035,-0.085,-0.054,-0.032,0.458,0.455,0.453,0.398,0.394,0.387,0.996,0.986,0.981,0.999,0.99,0.984,1.002,0.994,0.988
1054.0,0.012,0.015,0.02,-0.012,-0.007,-0.005,0.149,0.155,0.167,0.153,0.158,0.17,0.156,0.162,0.174,0.425,0.426,0.424,0.357,0.353,0.35,0.886,0.885,0.876,0.889,0.888,0.88,0.891,0.892,0.884
1055.0,-0.169,-0.144,-0.129,-0.078,-0.07,-0.058,-0.229,-0.192,-0.155,-0.226,-0.189,-0.151,-0.223,-0.185,-0.148,0.453,0.454,0.453,0.414,0.411,0.404,1.039,1.043,1.039,1.041,1.046,1.041,1.043,1.049,1.044
